;Normal < 2000;Normal > 2000;Extra < 2000;Extra > 2000
01-01-12;0.8785;0.8525;0.8941;0.8682
02-01-12;0.8785;0.8525;0.8941;0.8682
03-01-12;0.8784;0.8525;0.8941;0.8682
04-01-12;0.8784;0.8525;0.8941;0.8682
05-01-12;0.8784;0.8525;0.8941;0.8682
06-01-12;0.9235;0.8976;0.9314;0.9055
07-01-12;0.9235;0.8976;0.9314;0.9055
08-01-12;0.9235;0.8976;0.9314;0.9055
09-01-12;0.9235;0.8976;0.9314;0.9055
10-01-12;0.9235;0.8976;0.9314;0.9055
11-01-12;0.9235;0.8976;0.9314;0.9055
12-01-12;0.9235;0.8976;0.9314;0.9055
13-01-12;0.9235;0.8976;0.9579;0.932
14-01-12;0.9412;0.9152;0.9579;0.932
15-01-12;0.9412;0.9152;0.9579;0.932
16-01-12;0.9412;0.9152;0.9579;0.932
17-01-12;0.9412;0.9152;0.9579;0.932
18-01-12;0.9412;0.9152;0.9579;0.932
19-01-12;0.9412;0.9152;0.9579;0.932
20-01-12;0.9091;0.8832;0.924;0.8991
21-01-12;0.9091;0.8832;0.924;0.8991
22-01-12;0.9091;0.8832;0.924;0.8991
23-01-12;0.9091;0.8832;0.924;0.8991
24-01-12;0.9091;0.8832;0.924;0.8991
25-01-12;0.9091;0.8832;0.924;0.8991
26-01-12;0.9091;0.8832;0.924;0.8991
27-01-12;0.9091;0.8832;0.924;0.8991
28-01-12;0.8938;0.8679;0.9068;0.8809
29-01-12;0.8938;0.8679;0.9068;0.8809
30-01-12;0.8938;0.8679;0.9068;0.8809
31-01-12;0.8938;0.8679;0.9068;0.8809
01-02-12;0.8938;0.8679;0.9068;0.8809
02-02-12;0.8938;0.8679;0.9068;0.8809
03-02-12;0.8938;0.8679;0.9068;0.8809
04-02-12;0.8938;0.8679;0.9068;0.8809
05-02-12;0.8938;0.8679;0.9068;0.8809
06-02-12;0.8938;0.8679;0.9068;0.8809
07-02-12;0.8938;0.8679;0.9068;0.8809
08-02-12;0.9356;0.9096;0.9506;0.9247
09-02-12;0.9356;0.9096;0.9506;0.9247
10-02-12;0.9356;0.9096;0.934;0.9081
11-02-12;0.9356;0.9096;0.934;0.9081
12-02-12;0.9356;0.9096;0.934;0.9081
13-02-12;0.9356;0.9096;0.934;0.9081
14-02-12;0.9356;0.9096;0.934;0.9081
15-02-12;0.9356;0.9096;0.934;0.9081
